date,hour,demand
2021-03-01,0,56.55229456931937
2021-03-01,1,55.62930968297163
2021-03-01,2,54.454568537662226
2021-03-01,3,52.53324797281576
2021-03-01,5,52.01054771451636
2021-03-01,6,51.951658921658364
2021-03-01,7,65.5655482691525
2021-03-01,8,69.45643620927575
2021-03-01,9,72.85574422963265
2021-03-01,10,72.79806412458498
2021-03-01,11,72.94387805936763
2021-03-01,12,73.58017659025977
2021-03-01,13,73.58017659025977
2021-03-01,14,73.7388608442786
2021-03-01,15,73.7388608442786
2021-03-01,16,75.64412505310104
2021-03-01,17,76.9620715345115
2021-03-01,18,76.9620715345115
2021-03-01,19,76.9620715345115
2021-03-01,20,72.07674093084069
2021-03-01,21,63.394104352696985
2021-03-01,22,58.132236415902454
2021-03-01,23,57.33512464284789
2021-03-02,0,53.509485308828864
2021-03-02,1,53.346569793815085
2021-03-02,2,53.110174226328645
2021-03-02,4,52.652649594842075
2021-03-02,6,52.21663511527109
2021-03-02,7,67.02173081313337
2021-03-02,8,70.10995226815689
2021-03-02,9,72.45969816135039
2021-03-02,10,72.36209967740626
2021-03-02,11,72.5079136121889
2021-03-02,12,73.04932933542088
2021-03-02,13,73.04932933542088
2021-03-02,14,73.20801358943973
2021-03-02,15,73.20801358943973
2021-03-02,16,75.11327779826215
2021-03-02,17,76.43122427967262
2021-03-02,18,76.43122427967262
2021-03-02,19,76.43122427967262
2021-03-02,20,71.80555557734131
2021-03-02,21,63.606017616007875
2021-03-02,22,59.226270809471984
2021-03-02,23,58.33254736133642
2021-03-03,0,53.735935791954105
2021-03-03,2,51.26423717696663
2021-03-03,3,48.584894620617696
2021-03-03,4,47.453638659833906
2021-03-03,5,47.33518518501116
2021-03-03,6,47.33518518501116
2021-03-03,7,65.56704292237212
2021-03-03,8,67.6904121089908
2021-03-03,9,72.26797115154469
2021-03-03,10,72.36209967740626
2021-03-03,11,72.5079136121889
2021-03-03,12,73.04932933542088
2021-03-03,13,73.04932933542088
2021-03-03,14,73.20801358943973
2021-03-03,15,73.20801358943973
2021-03-03,16,75.11327779826215
2021-03-03,17,76.43122427967262
2021-03-03,18,76.43122427967262
2021-03-03,19,76.43122427967262
2021-03-03,20,70.9083622475331
